encoding qubits,eigenvalue,time
3,12.0,2.109044075012207
4,-2.0,2.00732421875
5,-2.0,3.88615083694458
6,-7.0,6.794492959976196
7,-7.0,2.3704588413238525
8,-7.0,3.301382303237915
9,-7.0,3.250310182571411

2,5.0,1.2887227535247803
3,12.0,2.0598649978637695
4,-1.0,4.798804044723511
5,12.0,4.269636154174805
6,-1.0,11.851800918579102
7,-7.0,1.4131708145141602
8,-7.0,2.8670408725738525
9,-7.0,4.416705846786499

2,4.0,3.046215772628784
3,12.0,3.895810842514038
4,26.0,4.614045143127441
5,26.0,3.8359360694885254
6,-1.0,4.99227499961853
7,-7.0,2.40254282951355
8,-7.0,2.532033920288086
9,-7.0,3.0247790813446045

2,26.0,1.3740217685699463
3,-2.0,3.1064109802246094
4,0.0,1.9574849605560303
5,-1.0,3.121973991394043
6,-7.0,3.9518892765045166
7,-7.0,2.4918079376220703
8,-7.0,3.274690866470337
9,-7.0,4.428128957748413

2,-1.0,2.8826560974121094
3,2.0,3.5806989669799805
4,0.0,2.4610509872436523
5,2.0,6.242311954498291
6,-7.0,7.026134014129639
7,-7.0,1.8908581733703613
8,-7.0,2.0260860919952393
9,-7.0,2.813053846359253

2,-7.0,0.7681639194488525
3,-1.0,2.8025200366973877
4,-1.0,2.602915048599243
5,-1.0,7.591127872467041
6,-1.0,6.128004789352417
7,-7.0,1.6067099571228027
8,-7.0,3.411107063293457
9,-7.0,4.194231033325195

2,-2.0,1.631208896636963
3,0.0,3.3161377906799316
4,5.0,4.7952539920806885
5,-1.0,2.6360397338867188
6,4.0,9.237377166748047
7,-7.0,1.2196190357208252
8,-7.0,2.6465060710906982
9,-7.0,4.3314549922943115

2,4.0,1.4515202045440674
3,2.0,1.5144150257110596
4,-7.0,2.410167694091797
5,12.0,5.104935169219971
6,-1.0,10.066981792449951
7,-7.0,1.5970458984375
8,-7.0,1.948941946029663
9,-7.0,7.026477098464966

2,2.0,2.370266914367676
3,-1.0,2.1702709197998047
4,-7.0,4.421675205230713
5,-7.0,4.283179998397827
6,-2.0,3.638841152191162
7,-7.0,1.6733307838439941
8,-7.0,3.407792091369629
9,-7.0,4.789380073547363

2,5.0,0.8054080009460449
3,-7.0,2.429615020751953
4,-2.0,4.53108286857605
5,-1.0,7.137792110443115
6,-7.0,5.824735879898071
7,-7.0,1.628566026687622
8,-7.0,2.2405450344085693
9,-7.0,2.2952659130096436

2,5.0,2.0383081436157227
3,4.0,3.0085840225219727
4,-1.0,3.036902904510498
5,4.0,4.919126987457275
6,-7.0,5.8945910930633545
7,-7.0,1.3810880184173584
8,-7.0,2.5936968326568604
9,-7.0,3.627606153488159
